trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
345,False,"{'a': 0.5, 'e': 0.14000000000001034}",20,0,25.7997778541619,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
346,False,"{'a': 0.5, 'e': 0.13750000000001034}",20,2,14.837453366002046,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
347,False,"{'a': 0.5, 'e': 0.13500000000001033}",25,17,15.053430639574898,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.13250000000001033}",20,14,10.021130519412367,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.13000000000001033}",30,9,27.777513370241696,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.12750000000001033}",20,9,20.51288965176472,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.12500000000001033}",25,11,-17.695923555606505,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
352,False,"{'a': 0.5, 'e': 0.12250000000001032}",25,14,15.621764965354608,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.5, 'e': 0.12000000000001032}",20,0,33.536302868758696,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
354,False,"{'a': 0.5, 'e': 0.11750000000001032}",20,5,14.186462826704462,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.11500000000001032}",20,13,10.089324707309594,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.11250000000001031}",20,10,15.051817679987527,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.11000000000001031}",30,13,9.922609886861675,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
